Country,Agriculture,Building,Bunker Fuels,Electricity/Heat,Energy,Fugitive Emissions,Industrial Processes,Land-Use Change and Forestry,Manufacturing/Construction,Other Fuel Combustion,Total excluding LUCF,Total including LUCF,Transportation,Waste
Brazil,426.3296296,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
China,673.9025926,377.4074074,25.18148148,2481.059259,5562.048889,365.367037,535.2833333,-331.3092593,1716.140741,247.9588889,6939.992222,6608.684815,374.1222222,168.7581481
France,79.82,84.5,22.17777778,69.7962963,356.3337037,3.437407407,23.52111111,-53.98037037,52.73703704,20.71518519,478.1862963,424.2044444,125.1518519,18.51148148
Germany,67.93777778,162.4222222,27.57777778,373.8851852,838.52,21.25,36.12703704,-37.54074074,103.9962963,16.13111111,967.0659259,929.5251852,160.8148148,24.47925926
India,640.6725926,79.2037037,10.44814815,610.7444444,1238.917037,45.81259259,72.22481481,-44.06148148,271.8,99.16518519,2009.851111,1965.789259,132.1888889,58.03925926
Italy,35.73,69.63703704,15.05925926,148.8740741,412.6259259,7.091111111,12.57555556,-34.46037037,59.99259259,16.08407407,480.4848148,446.0274074,110.9481481,19.55444444
Japan,25.39259259,137.7703704,35.05185185,514.4703704,1138.055556,3.511851852,68.90185185,-60.66296296,223.2962963,28.4262963,1243.367778,1182.703704,230.5703704,11.01851852
Philippines,53.30333333,4.796296296,2.6,28.22592593,74.66,0.473703704,7.271111111,-7.337407407,11.53703704,5.782222222,145.5374074,138.2,23.85925926,10.3037037
Russia,125.8622222,162.7518519,22.5962963,980.9814815,2172.065185,588.632963,52.52555556,127.8007407,171.0666667,42.69444444,2441.234444,2569.034444,225.9296296,90.81111111
Spain,39.68148148,23.41481481,28.87037037,100.0148148,267.1433333,1.941111111,25.78111111,-41.43074074,43.18888889,10.41222222,344.5362963,303.1040741,88.14074074,11.93111111
United Kingdom,55.62666667,97.65925926,36.93703704,217.062963,525.2125926,19.22851852,30.57444444,-12.50296296,57.44814815,13.68148148,660.2892593,647.7859259,120.1296296,48.87666667
United States,372.2281481,559.6296296,136.1185185,2535.759259,5664.214444,314.1703704,197.3585185,-256.9474074,490.3148148,121.4433333,6398.550741,6141.604074,1642.907407,164.75
